"","player_name","match_round","vote","season","player_team"
"195","Elliot Yeo","4",6,2017,"West Coast"
"196","Josh P. Kennedy","4",5,2017,"Sydney"
"197","Jamie Cripps","4",3,2017,"West Coast"
"198","Andrew Gaff","4",3,2017,"West Coast"
"199","Shannon Hurn","4",2,2017,"West Coast"
"200","Josh J. Kennedy","4",1,2017,"West Coast"
"201","Luke Dahlhaus","4",9,2017,"Western Bulldogs"
"202","Ben Cunnington","4",8,2017,"North Melbourne"
"203","Toby McLean","4",4,2017,"Western Bulldogs"
"204","Marcus Bontempelli","4",3,2017,"Western Bulldogs"
"205","Matthew Suckling","4",3,2017,"Western Bulldogs"
"206","Ben Brown","4",2,2017,"North Melbourne"
"207","Robert Murphy","4",1,2017,"Western Bulldogs"
"208","Lachie Neale","4",10,2017,"Fremantle"
"209","David Mundy","4",7,2017,"Fremantle"
"210","Nat Fyfe","4",4,2017,"Fremantle"
"211","Clayton Oliver","4",3,2017,"Melbourne"
"212","Connor Blakely","4",2,2017,"Fremantle"
"213","Lachie Weller","4",2,2017,"Fremantle"
"214","Christian Salem","4",1,2017,"Melbourne"
"215","Christian Petracca","4",1,2017,"Melbourne"
"216","Tom Scully","4",9,2017,"Greater Western Sydney"
"217","Tom Scully","4",9,2017,"Greater Western Sydney"
"218","Jonathon Patton","4",8,2017,"Greater Western Sydney"
"219","Jonathon Patton","4",8,2017,"Greater Western Sydney"
"220","Nick Haynes","4",7,2017,"Greater Western Sydney"
"221","Nick Haynes","4",7,2017,"Greater Western Sydney"
"222","Dylan Shiel","4",3,2017,"Greater Western Sydney"
"223","Dylan Shiel","4",3,2017,"Greater Western Sydney"
"224","Travis Boak","4",2,2017,"Port Adelaide"
"225","Shane Mumford","4",1,2017,"Greater Western Sydney"
"226","Shane Mumford","4",1,2017,"Greater Western Sydney"
"227","Eddie Betts","4",9,2017,"Adelaide"
"228","Taylor Walker","4",8,2017,"Adelaide"
"229","Rory Sloane","4",7,2017,"Adelaide"
"230","Brodie Smith","4",3,2017,"Adelaide"
"231","Rory Laird","4",2,2017,"Adelaide"
"232","Travis Colyer","4",1,2017,"Essendon"
"233","Tom J. Lynch","4",10,2017,"Gold Coast"
"234","Brandon Matera","4",7,2017,"Gold Coast"
"235","Gary Ablett","4",6,2017,"Gold Coast"
"236","Jack Martin","4",3,2017,"Gold Coast"
"237","Marc Murphy","4",3,2017,"Carlton"
"238","Aaron Hall","4",1,2017,"Gold Coast"
"239","Sebastian Ross","4",9,2017,"St Kilda"
"240","Jarryn Geary","4",5,2017,"St Kilda"
"241","Dylan Roberton","4",5,2017,"St Kilda"
"242","Jimmy Webster","4",4,2017,"St Kilda"
"243","Taylor Adams","4",3,2017,"Collingwood"
"244","Jeremy Howe","4",2,2017,"Collingwood"
"245","Brodie Grundy","4",1,2017,"Collingwood"
"246","Jack Billings","4",1,2017,"St Kilda"
"247","Jack Riewoldt","4",8,2017,"Richmond"
"248","Shaun Grigg","4",5,2017,"Richmond"
"249","Stefan Martin","4",5,2017,"Brisbane Lions"
"250","Tom Rockliff","4",4,2017,"Brisbane Lions"
"251","Jason Castagna","4",4,2017,"Richmond"
"252","David Astbury","4",3,2017,"Richmond"
"253","Mitch Robinson","4",1,2017,"Brisbane Lions"
"254","Mitch Duncan","4",8,2017,"Geelong"
"255","Zach Tuohy","4",5,2017,"Geelong"
"256","Steven Motlop","4",5,2017,"Geelong"
"257","Luke Hodge","4",4,2017,"Hawthorn"
"258","Joel Selwood","4",3,2017,"Geelong"
"259","Tom Hawkins","4",3,2017,"Geelong"
"260","Cameron Guthrie","4",2,2017,"Geelong"
"261","Robbie Gray","5",10,2017,"Port Adelaide"
"262","Jared Polec","5",6,2017,"Port Adelaide"
"263","Brad Ebert","5",5,2017,"Port Adelaide"
"264","Ollie Wines","5",5,2017,"Port Adelaide"
"265","Matthew Broadbent","5",4,2017,"Port Adelaide"
"266","Dayne Zorko","5",9,2017,"Brisbane Lions"
"267","Jason Johannisen","5",8,2017,"Western Bulldogs"
"268","Jack Macrae","5",7,2017,"Western Bulldogs"
"269","Zaine Cordy","5",2,2017,"Western Bulldogs"
"270","Luke Dahlhaus","5",2,2017,"Western Bulldogs"
"271","Mitch Robinson","5",2,2017,"Brisbane Lions"
"272","Rory Sloane","5",10,2017,"Adelaide"
"273","Matt Crouch","5",8,2017,"Adelaide"
"274","Rory Atkins","5",3,2017,"Adelaide"
"275","Brad Crouch","5",3,2017,"Adelaide"
"276","Rory Laird","5",3,2017,"Adelaide"
"277","Jake Lever","5",3,2017,"Adelaide"
"278","David Mundy","5",10,2017,"Fremantle"
"279","Michael Johnson","5",4,2017,"Fremantle"
"280","Nat Fyfe","5",4,2017,"Fremantle"
"281","Stephen Hill","5",3,2017,"Fremantle"
"282","Ben Cunnington","5",3,2017,"North Melbourne"
"283","Trent Dumont","5",2,2017,"North Melbourne"
"284","Marley Williams","5",2,2017,"North Melbourne"
"285","Jamie Macmillan","5",2,2017,"North Melbourne"
"286","Toby Greene","5",9,2017,"Greater Western Sydney"
"287","Toby Greene","5",9,2017,"Greater Western Sydney"
"288","Shane Mumford","5",9,2017,"Greater Western Sydney"
"289","Shane Mumford","5",9,2017,"Greater Western Sydney"
"290","Jeremy Cameron","5",6,2017,"Greater Western Sydney"
"291","Jeremy Cameron","5",6,2017,"Greater Western Sydney"
"292","Callan Ward","5",4,2017,"Greater Western Sydney"
"293","Callan Ward","5",4,2017,"Greater Western Sydney"
"294","Zac Williams","5",1,2017,"Greater Western Sydney"
"295","Zac Williams","5",1,2017,"Greater Western Sydney"
"296","Nick Haynes","5",1,2017,"Greater Western Sydney"
"297","Nick Haynes","5",1,2017,"Greater Western Sydney"
"298","Joel Selwood","5",10,2017,"Geelong"
"299","Zach Tuohy","5",7,2017,"Geelong"
"300","Jack Steven","5",5,2017,"St Kilda"
"301","Mitch Duncan","5",4,2017,"Geelong"
"302","Mark Blicavs","5",3,2017,"Geelong"
"303","Patrick Dangerfield","5",1,2017,"Geelong"
"304","Tom Mitchell","5",8,2017,"Hawthorn"
"305","Cyril Rioli","5",7,2017,"Hawthorn"
"306","Ben McEvoy","5",6,2017,"Hawthorn"
"307","Liam Shiels","5",3,2017,"Hawthorn"
"308","Ben Stratton","5",3,2017,"Hawthorn"
"309","Luke Breust","5",2,2017,"Hawthorn"
"310","Luke Shuey","5",1,2017,"West Coast"
"311","Jack Riewoldt","5",10,2017,"Richmond"
"312","Michael Hibberd","5",6,2017,"Melbourne"
"313","Clayton Oliver","5",5,2017,"Melbourne"
"314","Toby Nankervis","5",4,2017,"Richmond"
"315","Dustin Martin","5",2,2017,"Richmond"
"316","Dylan Grimes","5",2,2017,"Richmond"
"317","Bachar Houli","5",1,2017,"Richmond"
"318","Joe Daniher","5",9,2017,"Essendon"
"319","Orazio Fantasia","5",5,2017,"Essendon"
"320","Zach Merrett","5",5,2017,"Essendon"
"321","Brendon Goddard","5",4,2017,"Essendon"
"322","Adam Treloar","5",3,2017,"Collingwood"
"323","Jeremy Howe","5",2,2017,"Collingwood"
"324","Daniel Wells","5",1,2017,"Collingwood"
"325","Jobe Watson","5",1,2017,"Essendon"
"326","Marcus Bontempelli","6",9,2017,"Western Bulldogs"
"327","Nick Haynes","6",5,2017,"Greater Western Sydney"
"328","Nick Haynes","6",5,2017,"Greater Western Sydney"
"329","Caleb Daniel","6",5,2017,"Western Bulldogs"
"330","Zac Williams","6",4,2017,"Greater Western Sydney"
"331","Zac Williams","6",4,2017,"Greater Western Sydney"
"332","Jack Macrae","6",3,2017,"Western Bulldogs"
"333","Toby Greene","6",2,2017,"Greater Western Sydney"
"334","Toby Greene","6",2,2017,"Greater Western Sydney"
"335","Tom Scully","6",1,2017,"Greater Western Sydney"
"336","Tom Scully","6",1,2017,"Greater Western Sydney"
"337","Jonathon Patton","6",1,2017,"Greater Western Sydney"
"338","Jonathon Patton","6",1,2017,"Greater Western Sydney"
"339","Jack Steven","6",9,2017,"St Kilda"
"340","Dylan Roberton","6",7,2017,"St Kilda"
"341","Koby Stevens","6",6,2017,"St Kilda"
"342","Jack Steele","6",4,2017,"St Kilda"
"343","Jimmy Webster","6",2,2017,"St Kilda"
"344","Tim Membrey","6",1,2017,"St Kilda"
"345","Tom Mitchell","6",1,2017,"Hawthorn"
"346","Matthew Wright","6",9,2017,"Carlton"
"347","Sam Docherty","6",9,2017,"Carlton"
"348","Kade Simpson","6",6,2017,"Carlton"
"349","Alex Silvagni","6",2,2017,"Carlton"
"350","Matthew Kreuzer","6",2,2017,"Carlton"
"351","Jake Lloyd","6",1,2017,"Sydney"
"352","Marc Murphy","6",1,2017,"Carlton"
"353","Charlie Dixon","6",10,2017,"Port Adelaide"
"354","Chad Wingard","6",8,2017,"Port Adelaide"
"355","Paddy Ryder","6",4,2017,"Port Adelaide"
"356","Tom Jonas","6",3,2017,"Port Adelaide"
"357","Brad Ebert","6",2,2017,"Port Adelaide"
"358","Jarman Impey","6",2,2017,"Port Adelaide"
"359","Lewis Taylor","6",1,2017,"Brisbane Lions"
"360","Elliot Yeo","6",8,2017,"West Coast"
"361","Jeremy McGovern","6",8,2017,"West Coast"
"362","Josh J. Kennedy","6",8,2017,"West Coast"
"363","Andrew Gaff","6",4,2017,"West Coast"
"364","Luke Shuey","6",1,2017,"West Coast"
"365","Chris Masten","6",1,2017,"West Coast"
"366","Gary Ablett","6",10,2017,"Gold Coast"
"367","Ben Brown","6",8,2017,"North Melbourne"
"368","Shaun Higgins","6",6,2017,"North Melbourne"
"369","Taylor Garner","6",2,2017,"North Melbourne"
"370","Scott Thompson","6",2,2017,"North Melbourne"
"371","Jarrod Harbrow","6",1,2017,"Gold Coast"
"372","Nathan Hrovat","6",1,2017,"North Melbourne"
"373","Clayton Oliver","6",6,2017,"Melbourne"
"374","Michael Hurley","6",6,2017,"Essendon"
"375","Jack Watts","6",6,2017,"Melbourne"
"376","Christian Petracca","6",4,2017,"Melbourne"
"377","Tom McDonald","6",4,2017,"Melbourne"
"378","Jack Viney","6",2,2017,"Melbourne"
"379","Dom Tyson","6",2,2017,"Melbourne"
"380","Scott Pendlebury","6",10,2017,"Collingwood"
"381","Taylor Adams","6",8,2017,"Collingwood"
"382","Levi Greenwood","6",5,2017,"Collingwood"
"383","Daniel Wells","6",4,2017,"Collingwood"
"384","Will Hoskin-Elliott","6",2,2017,"Collingwood"
"385","Zach Tuohy","6",1,2017,"Geelong"
"386","Rory Sloane","6",9,2017,"Adelaide"
"387","Sam Jacobs","6",7,2017,"Adelaide"
"388","Matt Crouch","6",5,2017,"Adelaide"
"389","Rory Laird","6",5,2017,"Adelaide"
"390","Tom Lynch","6",2,2017,"Adelaide"
"391","Taylor Walker","6",1,2017,"Adelaide"
"392","Jake Lever","6",1,2017,"Adelaide"
"393","Sebastian Ross","7",9,2017,"St Kilda"
"394","Jack Steven","7",9,2017,"St Kilda"
"395","Koby Stevens","7",3,2017,"St Kilda"
"396","Tom Scully","7",3,2017,"Greater Western Sydney"
"397","Tom Scully","7",3,2017,"Greater Western Sydney"
"398","Dylan Shiel","7",2,2017,"Greater Western Sydney"
"399","Dylan Shiel","7",2,2017,"Greater Western Sydney"
"400","Jimmy Webster","7",2,2017,"St Kilda"
"401","Billy Longer","7",1,2017,"St Kilda"
"402","Callan Ward","7",1,2017,"Greater Western Sydney"
"403","Callan Ward","7",1,2017,"Greater Western Sydney"
"404","Jarrad Waite","7",10,2017,"North Melbourne"
"405","Ben Cunnington","7",8,2017,"North Melbourne"
"406","Scott Thompson","7",3,2017,"North Melbourne"
"407","Sam Gibson","7",3,2017,"North Melbourne"
"408","Luke McDonald","7",3,2017,"North Melbourne"
"409","Kayne Turner","7",2,2017,"North Melbourne"
"410","Mason Wood","7",1,2017,"North Melbourne"
"411","Matthew Kreuzer","7",9,2017,"Carlton"
"412","Sam Petrevski-Seton","7",9,2017,"Carlton"
"413","Marc Murphy","7",6,2017,"Carlton"
"414","Caleb Marchbank","7",4,2017,"Carlton"
"415","Ben Reid","7",1,2017,"Collingwood"
"416","Taylor Adams","7",1,2017,"Collingwood"
"417","Elliot Yeo","7",9,2017,"West Coast"
"418","Paddy Ryder","7",7,2017,"Port Adelaide"
"419","Charlie Dixon","7",6,2017,"Port Adelaide"
"420","Brad Sheppard","7",3,2017,"West Coast"
"421","Tom Barrass","7",3,2017,"West Coast"
"422","Mark LeCras","7",2,2017,"West Coast"
"423","Aaron Hall","7",8,2017,"Gold Coast"
"424","Gary Ablett","7",6,2017,"Gold Coast"
"425","Tom J. Lynch","7",5,2017,"Gold Coast"
"426","Jarrod Harbrow","7",5,2017,"Gold Coast"
"427","Steven May","7",3,2017,"Gold Coast"
"428","David Swallow","7",2,2017,"Gold Coast"
"429","Mitch Duncan","7",1,2017,"Geelong"
"430","Marcus Bontempelli","7",9,2017,"Western Bulldogs"
"431","Jack Macrae","7",5,2017,"Western Bulldogs"
"432","Jack Riewoldt","7",4,2017,"Richmond"
"433","Luke Dahlhaus","7",4,2017,"Western Bulldogs"
"434","Easton Wood","7",3,2017,"Western Bulldogs"
"435","Shaun Grigg","7",3,2017,"Richmond"
"436","Alex Rance","7",1,2017,"Richmond"
"437","Tom Boyd","7",1,2017,"Western Bulldogs"
"438","Lance Franklin","7",10,2017,"Sydney"
"439","Zak Jones","7",8,2017,"Sydney"
"440","Isaac Heeney","7",5,2017,"Sydney"
"441","Tom Rockliff","7",5,2017,"Brisbane Lions"
"442","Luke Parker","7",1,2017,"Sydney"
"443","Jake Lloyd","7",1,2017,"Sydney"
"444","Bradley Hill","7",10,2017,"Fremantle"
"445","Lachie Neale","7",8,2017,"Fremantle"
"446","Matt Taberner","7",6,2017,"Fremantle"
"447","Connor Blakely","7",2,2017,"Fremantle"
"448","Zach Merrett","7",2,2017,"Essendon"
"449","Cale Hooker","7",1,2017,"Essendon"
"450","Joe Daniher","7",1,2017,"Essendon"
"451","Jack Viney","7",10,2017,"Melbourne"
"452","Jarryd Roughead","7",6,2017,"Hawthorn"
"453","Shaun Burgoyne","7",4,2017,"Hawthorn"
"454","Isaac Smith","7",3,2017,"Hawthorn"
"455","Ben McEvoy","7",3,2017,"Hawthorn"
"456","Nathan Jones","7",3,2017,"Melbourne"
"457","Sam Frost","7",1,2017,"Melbourne"
"458","Shannon Hurn","8",7,2017,"West Coast"
"459","Andrew Gaff","8",6,2017,"West Coast"
"460","Elliot Yeo","8",5,2017,"West Coast"
"461","Easton Wood","8",4,2017,"Western Bulldogs"
"462","Caleb Daniel","8",3,2017,"Western Bulldogs"
"463","Jason Johannisen","8",2,2017,"Western Bulldogs"
"464","Sam Mitchell","8",2,2017,"West Coast"
"465","Jeremy McGovern","8",1,2017,"West Coast"
"466","Tom Mitchell","8",7,2017,"Hawthorn"
"467","Tom Rockliff","8",7,2017,"Brisbane Lions"
"468","Dayne Zorko","8",5,2017,"Brisbane Lions"
"469","Billy Hartung","8",4,2017,"Hawthorn"
"470","Luke Hodge","8",3,2017,"Hawthorn"
"471","Ben McEvoy","8",2,2017,"Hawthorn"
"472","Ryan Burton","8",2,2017,"Hawthorn"
"473","Jack Billings","8",10,2017,"St Kilda"
"474","Sebastian Ross","8",7,2017,"St Kilda"
"475","Patrick Cripps","8",7,2017,"Carlton"
"476","Jack Steven","8",4,2017,"St Kilda"
"477","Sam Docherty","8",1,2017,"Carlton"
"478","Marc Murphy","8",1,2017,"Carlton"
"479","Josh Kelly","8",10,2017,"Greater Western Sydney"
"480","Josh Kelly","8",10,2017,"Greater Western Sydney"
"481","Jeremy Cameron","8",8,2017,"Greater Western Sydney"
"482","Jeremy Cameron","8",8,2017,"Greater Western Sydney"
"483","Taylor Adams","8",5,2017,"Collingwood"
"484","Steele Sidebottom","8",4,2017,"Collingwood"
"485","Brodie Grundy","8",2,2017,"Collingwood"
"486","Devon Smith","8",1,2017,"Greater Western Sydney"
"487","Devon Smith","8",1,2017,"Greater Western Sydney"
"488","Jack Viney","8",10,2017,"Melbourne"
"489","Michael Hibberd","8",8,2017,"Melbourne"
"490","Christian Petracca","8",5,2017,"Melbourne"
"491","Clayton Oliver","8",5,2017,"Melbourne"
"492","Bernie Vince","8",2,2017,"Melbourne"
"493","Joe Daniher","8",9,2017,"Essendon"
"494","Michael Hurley","8",7,2017,"Essendon"
"495","Anthony McDonald-Tipungwuti","8",5,2017,"Essendon"
"496","Dyson Heppell","8",4,2017,"Essendon"
"497","Orazio Fantasia","8",3,2017,"Essendon"
"498","Zac Smith","8",1,2017,"Geelong"
"499","Zach Merrett","8",1,2017,"Essendon"
"500","Michael Walters","8",10,2017,"Fremantle"
"501","Bradley Hill","8",8,2017,"Fremantle"
