"","supercoach","match_round","season","player_team","player_name"
"158",82,"1",2020,"Collingwood","Mason Cox"
"159",81,"1",2020,"Sydney","Justin McInerney"
"160",81,"1",2020,"North Melbourne","Ben Brown"
"161",80,"1",2020,"Port Adelaide","Todd Marshall"
"162",80,"1",2020,"North Melbourne","Jamie Macmillan"
"163",80,"1",2020,"North Melbourne","Trent Dumont"
"164",80,"1",2020,"Carlton","Zac Fisher"
"165",80,"1",2020,"Gold Coast","Matthew Rowell"
"166",80,"1",2020,"Hawthorn","Ben McEvoy"
"167",79,"1",2020,"Port Adelaide","Xavier Duursma"
"168",79,"1",2020,"Essendon","Matt Guelfi"
"169",79,"1",2020,"Richmond","Jason Castagna"
"170",79,"1",2020,"Melbourne","Michael Hibberd"
"171",79,"1",2020,"Adelaide","Daniel Talia"
"172",79,"1",2020,"St Kilda","Callum Wilkie"
"173",79,"1",2020,"North Melbourne","Curtis Taylor"
"174",79,"1",2020,"Western Bulldogs","Alex Keath"
"175",79,"1",2020,"Port Adelaide","Trent McKenzie"
"176",79,"1",2020,"Gold Coast","Brandon Ellis"
"177",79,"1",2020,"St Kilda","Paddy Ryder"
"178",79,"1",2020,"Essendon","Mason Redman"
"179",79,"1",2020,"Port Adelaide","Dan Houston"
"180",78,"1",2020,"Port Adelaide","Mitchell Georgiades"
"181",78,"1",2020,"Richmond","Nick Vlastuin"
"182",77,"1",2020,"Melbourne","James Harmes"
"183",77,"1",2020,"Sydney","Jake Lloyd"
"184",77,"1",2020,"Western Bulldogs","Bailey Williams"
"185",76,"1",2020,"West Coast","Liam Duggan"
"186",76,"1",2020,"Fremantle","Darcy Tucker"
"187",76,"1",2020,"Western Bulldogs","Marcus Bontempelli"
"188",76,"1",2020,"St Kilda","Ben Paton"
"189",75,"1",2020,"Brisbane Lions","Charlie Cameron"
"190",75,"1",2020,"Brisbane Lions","Daniel McStay"
"191",75,"1",2020,"North Melbourne","Jed Anderson"
"192",74,"1",2020,"Collingwood","John Noble"
"193",74,"1",2020,"Essendon","Jake Stringer"
"194",74,"1",2020,"Greater Western Sydney","Zac Langdon"
"195",74,"1",2020,"Richmond","Jack Riewoldt"
"196",73,"1",2020,"Sydney","Sam Gray"
"197",73,"1",2020,"Greater Western Sydney","Brent Daniels"
"198",73,"1",2020,"Hawthorn","Jack Gunston"
"199",73,"1",2020,"Hawthorn","Oliver Hanrahan"
"200",71,"1",2020,"St Kilda","Dean Kent"
"201",71,"1",2020,"Melbourne","Angus Brayshaw"
"202",71,"1",2020,"Gold Coast","Brayden Fiorini"
"203",71,"1",2020,"Sydney","Aliir Aliir"
"204",70,"1",2020,"Melbourne","Oscar McDonald"
"205",70,"1",2020,"Collingwood","Jamie Elliott"
"206",70,"1",2020,"St Kilda","Dougal Howard"
"207",70,"1",2020,"Port Adelaide","Scott Lycett"
"208",70,"1",2020,"Greater Western Sydney","Jeremy Cameron"
"209",70,"1",2020,"Hawthorn","James Sicily"
"210",70,"1",2020,"Fremantle","Taylin Duman"
"211",69,"1",2020,"West Coast","Jamie Cripps"
"212",69,"1",2020,"St Kilda","Dan Butler"
"213",69,"1",2020,"Carlton","Mitch McGovern"
"214",69,"1",2020,"Melbourne","Steven May"
"215",69,"1",2020,"Hawthorn","Sam Frost"
"216",68,"1",2020,"Adelaide","Matt Crouch"
"217",68,"1",2020,"Port Adelaide","Hamish Hartlett"
"218",68,"1",2020,"West Coast","Jack Darling"
"219",68,"1",2020,"Western Bulldogs","Zaine Cordy"
"220",68,"1",2020,"Greater Western Sydney","Matt de Boer"
"221",68,"1",2020,"Geelong","Joel Selwood"
"222",67,"1",2020,"North Melbourne","Shaun Atley"
"223",67,"1",2020,"Western Bulldogs","Matthew Suckling"
"224",67,"1",2020,"Sydney","Kaiden Brand"
"225",67,"1",2020,"Western Bulldogs","Josh Dunkley"
"226",67,"1",2020,"Carlton","Jack Newnes"
"227",67,"1",2020,"Essendon","Anthony McDonald-Tipungwuti"
"228",67,"1",2020,"North Melbourne","Cameron Zurhaar"
"229",66,"1",2020,"Fremantle","Andrew Brayshaw"
"230",66,"1",2020,"Collingwood","Jordan De Goey"
"231",66,"1",2020,"North Melbourne","Robbie Tarrant"
"232",65,"1",2020,"Brisbane Lions","Zac Bailey"
"233",64,"1",2020,"West Coast","Jackson Nelson"
"234",64,"1",2020,"Gold Coast","Jesse Joyce"
"235",64,"1",2020,"Geelong","Gryan Miers"
"236",64,"1",2020,"Carlton","Liam Jones"
"237",64,"1",2020,"Collingwood","Tom Phillips"
"238",64,"1",2020,"Geelong","Zach Tuohy"
"239",64,"1",2020,"Collingwood","Tyler Brown"
"240",64,"1",2020,"Collingwood","Josh Thomas"
"241",63,"1",2020,"Sydney","Ben Ronke"
"242",63,"1",2020,"Essendon","Michael Hurley"
"243",63,"1",2020,"Greater Western Sydney","Harry Himmelberg"
"244",63,"1",2020,"Western Bulldogs","Tim English"
"245",62,"1",2020,"Greater Western Sydney","Jeremy Finlayson"
"246",62,"1",2020,"Collingwood","Jack Crisp"
"247",62,"1",2020,"Greater Western Sydney","Heath Shaw"
"248",62,"1",2020,"Geelong","Jack Henry"
"249",62,"1",2020,"Fremantle","James Aish"
"250",61,"1",2020,"Western Bulldogs","Jason Johannisen"
"251",61,"1",2020,"Gold Coast","Lachie Weller"
"252",61,"1",2020,"Port Adelaide","Tom Clurey"
"253",61,"1",2020,"Collingwood","Josh Daicos"
"254",60,"1",2020,"Melbourne","Alex Neal-Bullen"
"255",60,"1",2020,"Greater Western Sydney","Aidan Corr"
"256",60,"1",2020,"Adelaide","Luke Brown"
"257",60,"1",2020,"Western Bulldogs","Easton Wood"
"258",60,"1",2020,"Sydney","Nick Blakey"
"259",60,"1",2020,"Brisbane Lions","Darcy Gardiner"
"260",60,"1",2020,"Hawthorn","Tim O'Brien"
"261",59,"1",2020,"Western Bulldogs","Mitch Wallis"
"262",59,"1",2020,"West Coast","Jarrod Brander"
"263",59,"1",2020,"Gold Coast","Ben King"
"264",59,"1",2020,"Adelaide","Darcy Fogarty"
"265",58,"1",2020,"Brisbane Lions","Stefan Martin"
"266",58,"1",2020,"St Kilda","Bradley Hill"
"267",58,"1",2020,"Adelaide","Paul Seedsman"
"268",58,"1",2020,"Geelong","Cameron Guthrie"
"269",58,"1",2020,"Fremantle","Travis Colyer"
"270",57,"1",2020,"West Coast","Elliot Yeo"
"271",57,"1",2020,"Melbourne","Kysaiah Pickett"
"272",57,"1",2020,"Carlton","Ed Curnow"
"273",57,"1",2020,"Brisbane Lions","Noah Answerth"
"274",57,"1",2020,"Geelong","Gary Rohan"
"275",57,"1",2020,"Carlton","David Cuningham"
