"","season","match_date","match_round","player_team","bookmaker_prob_win"
"198",2017,"2017-06-10",12,"Fremantle",0.57
"199",2017,"2017-06-10",12,"Essendon",0.27
"200",2017,"2017-06-10",12,"Port Adelaide",0.73
"201",2017,"2017-06-11",12,"Carlton",0.24
"202",2017,"2017-06-11",12,"Greater Western Sydney",0.76
"203",2017,"2017-06-12",12,"Melbourne",0.6
"204",2017,"2017-06-12",12,"Collingwood",0.4
"205",2017,"2017-06-15",13,"West Coast",0.43
"206",2017,"2017-06-15",13,"Geelong",0.57
"207",2017,"2017-06-16",13,"St Kilda",0.51
"208",2017,"2017-06-16",13,"North Melbourne",0.49
"209",2017,"2017-06-17",13,"Sydney",0.5
"210",2017,"2017-06-17",13,"Richmond",0.5
"211",2017,"2017-06-17",13,"Port Adelaide",0.9
"212",2017,"2017-06-17",13,"Brisbane Lions",0.1
"213",2017,"2017-06-17",13,"Carlton",0.29
"214",2017,"2017-06-17",13,"Gold Coast",0.71
"215",2017,"2017-06-18",13,"Melbourne",0.43
"216",2017,"2017-06-18",13,"Western Bulldogs",0.57
"217",2017,"2017-06-22",14,"Hawthorn",0.13
"218",2017,"2017-06-22",14,"Adelaide",0.87
"219",2017,"2017-06-23",14,"Sydney",0.69
"220",2017,"2017-06-23",14,"Essendon",0.31
"221",2017,"2017-06-24",14,"Port Adelaide",0.51
"222",2017,"2017-06-24",14,"Collingwood",0.49
"223",2017,"2017-06-24",14,"Greater Western Sydney",0.77
"224",2017,"2017-06-24",14,"Brisbane Lions",0.23
"225",2017,"2017-06-24",14,"Western Bulldogs",0.58
"226",2017,"2017-06-24",14,"North Melbourne",0.42
"227",2017,"2017-06-24",14,"Melbourne",0.47
"228",2017,"2017-06-24",14,"West Coast",0.53
"229",2017,"2017-06-25",14,"Geelong",0.91
"230",2017,"2017-06-25",14,"Fremantle",0.09
"231",2017,"2017-06-25",14,"Richmond",0.67
"232",2017,"2017-06-25",14,"Carlton",0.33
"233",2017,"2017-06-25",14,"St Kilda",0.83
"234",2017,"2017-06-25",14,"Gold Coast",0.17
"235",2017,"2017-06-30",15,"Sydney",0.52
"236",2017,"2017-06-30",15,"Melbourne",0.48
"237",2017,"2017-07-01",15,"West Coast",0.27
"238",2017,"2017-07-01",15,"Western Bulldogs",0.73
"239",2017,"2017-07-01",15,"Adelaide",0.75
"240",2017,"2017-07-01",15,"Carlton",0.25
"241",2017,"2017-07-01",15,"Gold Coast",0.62
"242",2017,"2017-07-01",15,"North Melbourne",0.38
"243",2017,"2017-07-01",15,"Greater Western Sydney",0.28
"244",2017,"2017-07-01",15,"Richmond",0.27
"245",2017,"2017-07-01",15,"Port Adelaide",0.73
"246",2017,"2017-07-02",15,"Brisbane Lions",0.12
"247",2017,"2017-07-02",15,"Essendon",0.88
"248",2017,"2017-07-02",15,"Hawthorn",0.42
"249",2017,"2017-07-02",15,"Collingwood",0.58
"250",2017,"2017-07-02",15,"St Kilda",0.62
"251",2017,"2017-07-02",15,"Fremantle",0.38
"252",2017,"2017-07-07",16,"Adelaide",0.72
"253",2017,"2017-07-07",16,"Western Bulldogs",0.28
"254",2017,"2017-07-08",16,"Hawthorn",0.38
"255",2017,"2017-07-08",16,"Essendon",0.49
"256",2017,"2017-07-08",16,"Collingwood",0.51
"257",2017,"2017-07-08",16,"Sydney",0.84
"258",2017,"2017-07-08",16,"Gold Coast",0.16
"259",2017,"2017-07-08",16,"Geelong",0.76
"260",2017,"2017-07-08",16,"Brisbane Lions",0.24
"261",2017,"2017-07-08",16,"St Kilda",0.41
"262",2017,"2017-07-08",16,"Richmond",0.59
"263",2017,"2017-07-09",16,"Fremantle",0.3
"264",2017,"2017-07-09",16,"North Melbourne",0.7
"265",2017,"2017-07-09",16,"Melbourne",0.63
"266",2017,"2017-07-09",16,"Carlton",0.37
"267",2017,"2017-07-09",16,"Port Adelaide",0.46
"268",2017,"2017-07-09",16,"West Coast",0.54
"269",2017,"2017-07-14",17,"Essendon",0.47
"270",2017,"2017-07-14",17,"St Kilda",0.53
"271",2017,"2017-07-15",17,"Geelong",0.69
"272",2017,"2017-07-15",17,"Hawthorn",0.31
"273",2017,"2017-07-15",17,"Port Adelaide",0.84
"274",2017,"2017-07-15",17,"North Melbourne",0.16
"275",2017,"2017-07-15",17,"Collingwood",0.47
"276",2017,"2017-07-15",17,"Gold Coast",0.53
"277",2017,"2017-07-15",17,"Sydney",0.54
"278",2017,"2017-07-15",17,"Greater Western Sydney",0.46
"279",2017,"2017-07-15",17,"Adelaide",0.71
"280",2017,"2017-07-15",17,"Melbourne",0.29
"281",2017,"2017-07-16",17,"Richmond",0.83
"282",2017,"2017-07-16",17,"Brisbane Lions",0.17
"283",2017,"2017-07-16",17,"Western Bulldogs",0.6
"284",2017,"2017-07-16",17,"Carlton",0.4
"285",2017,"2017-07-16",17,"West Coast",0.7
"286",2017,"2017-07-16",17,"Fremantle",0.3
"287",2017,"2017-07-21",18,"Adelaide",0.63
"288",2017,"2017-07-21",18,"Geelong",0.37
"289",2017,"2017-07-22",18,"Essendon",0.8
"290",2017,"2017-07-22",18,"North Melbourne",0.2
"291",2017,"2017-07-22",18,"Melbourne",0.43
"292",2017,"2017-07-22",18,"Port Adelaide",0.57
"293",2017,"2017-07-22",18,"Western Bulldogs",0.75
"294",2017,"2017-07-22",18,"Gold Coast",0.25
"295",2017,"2017-07-22",18,"Sydney",0.79
"296",2017,"2017-07-22",18,"St Kilda",0.21
"297",2017,"2017-07-22",18,"Hawthorn",0.54
"298",2017,"2017-07-22",18,"Fremantle",0.46
"299",2017,"2017-07-23",18,"Richmond",0.43
"300",2017,"2017-07-23",18,"Greater Western Sydney",0.57
"301",2017,"2017-07-23",18,"Collingwood",0.51
"302",2017,"2017-07-23",18,"West Coast",0.49
"303",2017,"2017-07-23",18,"Brisbane Lions",0.48
"304",2017,"2017-07-23",18,"Carlton",0.52
"305",2017,"2017-07-28",19,"Hawthorn",0.34
"306",2017,"2017-07-28",19,"Sydney",0.66
"307",2017,"2017-07-29",19,"North Melbourne",0.31
"308",2017,"2017-07-29",19,"Melbourne",0.69
"309",2017,"2017-07-29",19,"Greater Western Sydney",0.87
"310",2017,"2017-07-29",19,"Fremantle",0.13
"311",2017,"2017-07-29",19,"Port Adelaide",0.83
"312",2017,"2017-07-29",19,"St Kilda",0.17
"313",2017,"2017-07-29",19,"Richmond",0.7
"314",2017,"2017-07-29",19,"Gold Coast",0.3
"315",2017,"2017-07-29",19,"Geelong",0.74
"316",2017,"2017-07-29",19,"Carlton",0.26
"317",2017,"2017-07-30",19,"Western Bulldogs",0.44
"318",2017,"2017-07-30",19,"Essendon",0.56
"319",2017,"2017-07-30",19,"Collingwood",0.37
"320",2017,"2017-07-30",19,"West Coast",0.89
"321",2017,"2017-07-30",19,"Brisbane Lions",0.11
"322",2017,"2017-08-04",20,"Sydney",0.58
"323",2017,"2017-08-04",20,"Geelong",0.42
"324",2017,"2017-08-05",20,"Greater Western Sydney",0.57
"325",2017,"2017-08-05",20,"Melbourne",0.43
"326",2017,"2017-08-05",20,"Essendon",0.78
"327",2017,"2017-08-05",20,"Carlton",0.22
"328",2017,"2017-08-05",20,"Western Bulldogs",0.76
"329",2017,"2017-08-05",20,"Brisbane Lions",0.24
"330",2017,"2017-08-05",20,"Collingwood",0.68
"331",2017,"2017-08-05",20,"North Melbourne",0.32
"332",2017,"2017-08-05",20,"Fremantle",0.62
"333",2017,"2017-08-05",20,"Gold Coast",0.38
"334",2017,"2017-08-06",20,"St Kilda",0.56
"335",2017,"2017-08-06",20,"West Coast",0.44
"336",2017,"2017-08-06",20,"Richmond",0.56
"337",2017,"2017-08-06",20,"Hawthorn",0.44
"338",2017,"2017-08-06",20,"Adelaide",0.62
"339",2017,"2017-08-06",20,"Port Adelaide",0.38
"340",2017,"2017-08-11",21,"Greater Western Sydney",0.58
"341",2017,"2017-08-11",21,"Western Bulldogs",0.42
"342",2017,"2017-08-12",21,"Sydney",0.91
"343",2017,"2017-08-12",21,"Fremantle",0.09
"344",2017,"2017-08-12",21,"Geelong",0.42
"345",2017,"2017-08-12",21,"Richmond",0.58
"346",2017,"2017-08-12",21,"Brisbane Lions",0.64
"347",2017,"2017-08-12",21,"Gold Coast",0.36
"348",2017,"2017-08-12",21,"Adelaide",0.76
"349",2017,"2017-08-12",21,"Essendon",0.24
"350",2017,"2017-08-12",21,"West Coast",0.86
"351",2017,"2017-08-12",21,"Carlton",0.14
"352",2017,"2017-08-13",21,"Melbourne",0.62
"353",2017,"2017-08-13",21,"St Kilda",0.38
"354",2017,"2017-08-13",21,"Hawthorn",0.71
"355",2017,"2017-08-13",21,"North Melbourne",0.29
"356",2017,"2017-08-13",21,"Port Adelaide",0.71
"357",2017,"2017-08-13",21,"Collingwood",0.29
"358",2017,"2017-08-18",22,"Sydney",0.42
"359",2017,"2017-08-18",22,"Adelaide",0.58
"360",2017,"2017-08-19",22,"Port Adelaide",0.51
"361",2017,"2017-08-19",22,"Western Bulldogs",0.49
"362",2017,"2017-08-19",22,"Geelong",0.64
"363",2017,"2017-08-19",22,"Collingwood",0.36
"364",2017,"2017-08-19",22,"Greater Western Sydney",0.8
"365",2017,"2017-08-19",22,"West Coast",0.2
"366",2017,"2017-08-19",22,"Essendon",0.7
"367",2017,"2017-08-19",22,"Gold Coast",0.3
"368",2017,"2017-08-19",22,"Carlton",0.25
"369",2017,"2017-08-19",22,"Hawthorn",0.75
"370",2017,"2017-08-20",22,"Melbourne",0.86
"371",2017,"2017-08-20",22,"Brisbane Lions",0.14
"372",2017,"2017-08-20",22,"St Kilda",0.73
"373",2017,"2017-08-20",22,"North Melbourne",0.27
"374",2017,"2017-08-20",22,"Richmond",0.76
"375",2017,"2017-08-20",22,"Fremantle",0.24
"376",2017,"2017-08-27",23,"West Coast",0.51
"377",2017,"2017-08-27",23,"Adelaide",0.49
"378",2017,"2017-08-26",23,"Sydney",0.9
