"","web_scraped_team","aflfant","match_round","season","player_team","player_name"
"116","Power",69,"1",2020,"Port Adelaide","Justin Westhoff"
"117","Suns",69,"1",2020,"Gold Coast","Brandon Ellis"
"118","Eagles",69,"1",2020,"West Coast","Brad Sheppard"
"119","Giants",68,"1",2020,"Greater Western Sydney","Lachie Whitfield"
"120","Dockers",68,"1",2020,"Fremantle","Reece Conca"
"121","Saints",68,"1",2020,"St Kilda","Paddy Ryder"
"122","Magpies",67,"1",2020,"Collingwood","John Noble"
"123","Tigers",67,"1",2020,"Richmond","Josh Caddy"
"124","Crows",67,"1",2020,"Adelaide","Tom Lynch"
"125","Bulldogs",67,"1",2020,"Western Bulldogs","Bailey Williams"
"126","Tigers",66,"1",2020,"Richmond","Jayden Short"
"127","Suns",66,"1",2020,"Gold Coast","Lachie Weller"
"128","Blues",65,"1",2020,"Carlton","Sam Walsh"
"129","Saints",65,"1",2020,"St Kilda","Rowan Marshall"
"130","Suns",64,"1",2020,"Gold Coast","Matthew Rowell"
"131","Bombers",64,"1",2020,"Essendon","Tom Bellchambers"
"132","Hawks",64,"1",2020,"Hawthorn","Oliver Hanrahan"
"133","Power",64,"1",2020,"Port Adelaide","Steven Motlop"
"134","Crows",64,"1",2020,"Adelaide","Lachlan Murphy"
"135","Bulldogs",63,"1",2020,"Western Bulldogs","Caleb Daniel"
"136","Power",63,"1",2020,"Port Adelaide","Todd Marshall"
"137","Demons",63,"1",2020,"Melbourne","Angus Brayshaw"
"138","Power",63,"1",2020,"Port Adelaide","Xavier Duursma"
"139","Tigers",63,"1",2020,"Richmond","Trent Cotchin"
"140","Cats",63,"1",2020,"Geelong","Luke Dahlhaus"
"141","Crows",63,"1",2020,"Adelaide","Wayne Milera"
"142","Crows",63,"1",2020,"Adelaide","Reilly O'Brien"
"143","Cats",63,"1",2020,"Geelong","Tom Stewart"
"144","Crows",63,"1",2020,"Adelaide","Rory Atkins"
"145","Saints",63,"1",2020,"St Kilda","Sebastian Ross"
"146","Cats",62,"1",2020,"Geelong","Zach Tuohy"
"147","Swans",62,"1",2020,"Sydney","Jordan Dawson"
"148","Cats",62,"1",2020,"Geelong","Joel Selwood"
"149","Suns",62,"1",2020,"Gold Coast","Jack Bowes"
"150","Bombers",62,"1",2020,"Essendon","David Zaharakis"
"151","Hawks",62,"1",2020,"Hawthorn","James Sicily"
"152","Giants",62,"1",2020,"Greater Western Sydney","Heath Shaw"
"153","Lions",62,"1",2020,"Brisbane Lions","Harris Andrews"
"154","Kangaroos",62,"1",2020,"North Melbourne","Trent Dumont"
"155","Eagles",61,"1",2020,"West Coast","Jarrod Brander"
"156","Power",61,"1",2020,"Port Adelaide","Trent McKenzie"
"157","Dockers",61,"1",2020,"Fremantle","Sam Sturt"
"158","Magpies",61,"1",2020,"Collingwood","Jordan De Goey"
"159","Dockers",60,"1",2020,"Fremantle","Travis Colyer"
"160","Bombers",60,"1",2020,"Essendon","Jacob Townsend"
"161","Lions",60,"1",2020,"Brisbane Lions","Daniel Rich"
"162","Lions",60,"1",2020,"Brisbane Lions","Hugh McCluggage"
"163","Tigers",60,"1",2020,"Richmond","Marlion Pickett"
"164","Power",60,"1",2020,"Port Adelaide","Mitchell Georgiades"
"165","Demons",59,"1",2020,"Melbourne","Adam Tomlinson"
"166","Lions",59,"1",2020,"Brisbane Lions","Noah Answerth"
"167","Hawks",59,"1",2020,"Hawthorn","Jack Gunston"
"168","Saints",59,"1",2020,"St Kilda","Ben Paton"
"169","Bulldogs",59,"1",2020,"Western Bulldogs","Josh Dunkley"
"170","Blues",59,"1",2020,"Carlton","Sam Petrevski-Seton"
"171","Tigers",59,"1",2020,"Richmond","Kane Lambert"
"172","Saints",59,"1",2020,"St Kilda","Dan Butler"
"173","Bombers",59,"1",2020,"Essendon","Matt Guelfi"
"174","Hawks",59,"1",2020,"Hawthorn","Ricky Henderson"
"175","Magpies",59,"1",2020,"Collingwood","Jack Crisp"
"176","Bombers",59,"1",2020,"Essendon","Tom Cutler"
"177","Eagles",59,"1",2020,"West Coast","Brendon Ah Chee"
"178","Eagles",58,"1",2020,"West Coast","Jackson Nelson"
"179","Crows",58,"1",2020,"Adelaide","Brad Crouch"
"180","Eagles",58,"1",2020,"West Coast","Jamie Cripps"
"181","Suns",58,"1",2020,"Gold Coast","Sam Collins"
"182","Hawks",58,"1",2020,"Hawthorn","Tom Scully"
"183","Cats",58,"1",2020,"Geelong","Mark O'Connor"
"184","Crows",57,"1",2020,"Adelaide","Paul Seedsman"
"185","Lions",57,"1",2020,"Brisbane Lions","Alex Witherden"
"186","Swans",57,"1",2020,"Sydney","Lewis Taylor"
"187","Suns",57,"1",2020,"Gold Coast","Hugh Greenwood"
"188","Bulldogs",57,"1",2020,"Western Bulldogs","Sam Lloyd"
"189","Lions",56,"1",2020,"Brisbane Lions","Dayne Zorko"
"190","Demons",56,"1",2020,"Melbourne","James Harmes"
"191","Magpies",56,"1",2020,"Collingwood","Mason Cox"
"192","Bulldogs",56,"1",2020,"Western Bulldogs","Tim English"
"193","Power",55,"1",2020,"Port Adelaide","Scott Lycett"
"194","Demons",55,"1",2020,"Melbourne","Alex Neal-Bullen"
"195","Hawks",55,"1",2020,"Hawthorn","Jonathon Ceglar"
"196","Swans",55,"1",2020,"Sydney","Jake Lloyd"
"197","Bulldogs",55,"1",2020,"Western Bulldogs","Jason Johannisen"
"198","Kangaroos",55,"1",2020,"North Melbourne","Tarryn Thomas"
"199","Magpies",55,"1",2020,"Collingwood","Jamie Elliott"
"200","Suns",55,"1",2020,"Gold Coast","Jack Lukosius"
"201","Bulldogs",55,"1",2020,"Western Bulldogs","Matthew Suckling"
"202","Magpies",55,"1",2020,"Collingwood","Callum L. Brown"
"203","Dockers",54,"1",2020,"Fremantle","Taylin Duman"
"204","Crows",54,"1",2020,"Adelaide","Matt Crouch"
"205","Blues",54,"1",2020,"Carlton","Zac Fisher"
"206","Tigers",54,"1",2020,"Richmond","Jason Castagna"
"207","Swans",53,"1",2020,"Sydney","Tom McCartin"
"208","Kangaroos",53,"1",2020,"North Melbourne","Ben Brown"
"209","Eagles",53,"1",2020,"West Coast","Nic Naitanui"
"210","Saints",52,"1",2020,"St Kilda","Hunter Clark"
"211","Lions",52,"1",2020,"Brisbane Lions","Charlie Cameron"
"212","Power",52,"1",2020,"Port Adelaide","Tom Clurey"
"213","Cats",52,"1",2020,"Geelong","Harry Taylor"
"214","Blues",52,"1",2020,"Carlton","Ed Curnow"
"215","Kangaroos",52,"1",2020,"North Melbourne","Jamie Macmillan"
"216","Tigers",52,"1",2020,"Richmond","Shane Edwards"
"217","Eagles",52,"1",2020,"West Coast","Jeremy McGovern"
"218","Saints",51,"1",2020,"St Kilda","Ben Long"
"219","Bulldogs",51,"1",2020,"Western Bulldogs","Marcus Bontempelli"
"220","Lions",51,"1",2020,"Brisbane Lions","Zac Bailey"
"221","Lions",51,"1",2020,"Brisbane Lions","Stefan Martin"
"222","Cats",51,"1",2020,"Geelong","Jordan Clark"
"223","Lions",51,"1",2020,"Brisbane Lions","Daniel McStay"
"224","Giants",51,"1",2020,"Greater Western Sydney","Matt de Boer"
"225","Power",50,"1",2020,"Port Adelaide","Tom Jonas"
"226","Power",50,"1",2020,"Port Adelaide","Hamish Hartlett"
"227","Blues",50,"1",2020,"Carlton","David Cuningham"
"228","Suns",50,"1",2020,"Gold Coast","Jesse Joyce"
"229","Tigers",50,"1",2020,"Richmond","Jack Riewoldt"
"230","Cats",50,"1",2020,"Geelong","Cameron Guthrie"
"231","Giants",50,"1",2020,"Greater Western Sydney","Jeremy Cameron"
"232","Swans",50,"1",2020,"Sydney","Dane Rampe"
"233","Tigers",49,"1",2020,"Richmond","David Astbury"
"234","Saints",49,"1",2020,"St Kilda","Jarryn Geary"
"235","Swans",49,"1",2020,"Sydney","Kaiden Brand"
"236","Kangaroos",49,"1",2020,"North Melbourne","Jed Anderson"
"237","Cats",49,"1",2020,"Geelong","Jack Henry"
"238","Swans",49,"1",2020,"Sydney","Colin O'Riordan"
"239","Bulldogs",49,"1",2020,"Western Bulldogs","Ryan Gardner"
"240","Blues",49,"1",2020,"Carlton","Nic Newman"
"241","Blues",49,"1",2020,"Carlton","Jacob Weitering"
"242","Bombers",49,"1",2020,"Essendon","Anthony McDonald-Tipungwuti"
"243","Eagles",49,"1",2020,"West Coast","Elliot Yeo"
"244","Kangaroos",48,"1",2020,"North Melbourne","Shaun Atley"
"245","Swans",48,"1",2020,"Sydney","Justin McInerney"
"246","Swans",48,"1",2020,"Sydney","Harry Cunningham"
"247","Giants",48,"1",2020,"Greater Western Sydney","Zac Langdon"
"248","Kangaroos",47,"1",2020,"North Melbourne","Curtis Taylor"
"249","Bulldogs",47,"1",2020,"Western Bulldogs","Easton Wood"
"250","Demons",47,"1",2020,"Melbourne","Oscar McDonald"
"251","Lions",47,"1",2020,"Brisbane Lions","Cam Rayner"
"252","Dockers",46,"1",2020,"Fremantle","Bailey Banfield"
"253","Tigers",46,"1",2020,"Richmond","Liam Baker"
"254","Cats",46,"1",2020,"Geelong","Sam Menegola"
"255","Lions",46,"1",2020,"Brisbane Lions","Lincoln McCarthy"
